NO,Temp,Time
1,26.69,2013-04-29 23:58:00
2,26.69,2013-04-29 23:58:01
3,26.69,2013-04-29 23:58:02
4,26.69,2013-04-29 23:58:03
5,26.75,2013-04-29 23:58:04
6,26.69,2013-04-29 23:58:05
7,26.69,2013-04-29 23:58:06
8,26.69,2013-04-29 23:58:07
9,26.75,2013-04-29 23:58:08
10,26.69,2013-04-29 23:58:09
11,26.69,2013-04-29 23:58:10
12,26.69,2013-04-29 23:58:11
13,26.69,2013-04-29 23:58:12
14,26.69,2013-04-29 23:58:13
15,26.69,2013-04-29 23:58:14
16,26.75,2013-04-29 23:58:15
17,26.69,2013-04-29 23:58:16
18,26.69,2013-04-29 23:58:17
19,26.69,2013-04-29 23:58:18
20,26.69,2013-04-29 23:58:19
21,26.69,2013-04-29 23:58:20
22,26.69,2013-04-29 23:58:21
23,26.75,2013-04-29 23:58:22
24,26.69,2013-04-29 23:58:23
25,26.75,2013-04-29 23:58:24
26,26.69,2013-04-29 23:58:25
27,26.69,2013-04-29 23:58:26
28,26.69,2013-04-29 23:58:27
29,26.69,2013-04-29 23:58:28
30,26.69,2013-04-29 23:58:29
31,26.69,2013-04-29 23:58:30
32,26.69,2013-04-29 23:58:31
33,26.69,2013-04-29 23:58:32
34,26.69,2013-04-29 23:58:33
35,26.75,2013-04-29 23:58:34
36,26.75,2013-04-29 23:58:35
37,26.75,2013-04-29 23:58:36
38,26.81,2013-04-29 23:58:37
39,26.81,2013-04-29 23:58:38
40,26.81,2013-04-29 23:58:39
41,26.81,2013-04-29 23:58:40
42,26.88,2013-04-29 23:58:41
43,26.88,2013-04-29 23:58:42
44,26.88,2013-04-29 23:58:43
45,26.88,2013-04-29 23:58:44
46,26.88,2013-04-29 23:58:45
47,26.94,2013-04-29 23:58:46
48,26.94,2013-04-29 23:58:47
49,26.94,2013-04-29 23:58:48
50,26.94,2013-04-29 23:58:49
51,27.00,2013-04-29 23:58:50
52,27.00,2013-04-29 23:58:51
53,27.00,2013-04-29 23:58:52
54,27.06,2013-04-29 23:58:53
55,27.06,2013-04-29 23:58:54
56,27.06,2013-04-29 23:58:55
57,27.06,2013-04-29 23:58:56
58,27.06,2013-04-29 23:58:57
59,27.06,2013-04-29 23:58:58
60,27.13,2013-04-29 23:58:59
61,27.13,2013-04-29 23:59:00
62,27.19,2013-04-29 23:59:01
63,27.19,2013-04-29 23:59:02
64,27.19,2013-04-29 23:59:03
65,27.19,2013-04-29 23:59:05
66,27.19,2013-04-29 23:59:06
67,27.19,2013-04-29 23:59:07
68,27.19,2013-04-29 23:59:08
69,27.19,2013-04-29 23:59:09
70,27.13,2013-04-29 23:59:10
71,27.19,2013-04-29 23:59:11
72,27.19,2013-04-29 23:59:12
73,27.13,2013-04-29 23:59:13
74,27.19,2013-04-29 23:59:14
75,27.19,2013-04-29 23:59:15
76,27.19,2013-04-29 23:59:16
77,27.19,2013-04-29 23:59:17
78,27.19,2013-04-29 23:59:18
79,27.19,2013-04-29 23:59:19
80,27.19,2013-04-29 23:59:20
81,27.19,2013-04-29 23:59:21
82,27.19,2013-04-29 23:59:22
83,27.19,2013-04-29 23:59:23
84,27.19,2013-04-29 23:59:24
85,27.19,2013-04-29 23:59:25
86,27.19,2013-04-29 23:59:26
87,27.19,2013-04-29 23:59:27
88,27.19,2013-04-29 23:59:28
89,27.19,2013-04-29 23:59:29
90,27.19,2013-04-29 23:59:30
91,27.19,2013-04-29 23:59:31
92,27.13,2013-04-29 23:59:32
93,27.19,2013-04-29 23:59:33
94,27.19,2013-04-29 23:59:34
95,27.19,2013-04-29 23:59:35
96,27.19,2013-04-29 23:59:36
97,27.13,2013-04-29 23:59:37
98,27.19,2013-04-29 23:59:38
99,27.19,2013-04-29 23:59:39
100,27.19,2013-04-29 23:59:40
101,27.19,2013-04-29 23:59:41
102,27.19,2013-04-29 23:59:42
103,27.19,2013-04-29 23:59:43
104,27.19,2013-04-29 23:59:44
105,27.19,2013-04-29 23:59:45
106,27.25,2013-04-29 23:59:46
107,27.25,2013-04-29 23:59:47
108,27.31,2013-04-29 23:59:48
109,27.25,2013-04-29 23:59:49
110,27.31,2013-04-29 23:59:50
111,27.31,2013-04-29 23:59:51
112,27.31,2013-04-29 23:59:52
113,27.38,2013-04-29 23:59:53
114,27.38,2013-04-29 23:59:54
115,27.38,2013-04-29 23:59:55
116,27.38,2013-04-29 23:59:56
117,27.44,2013-04-29 23:59:57
118,27.38,2013-04-29 23:59:58
119,27.44,2013-04-29 23:59:59
120,27.44,2013-04-30 00:00:00
121,27.44,2013-04-30 00:00:01
122,27.44,2013-04-30 00:00:02
123,27.44,2013-04-30 00:00:03
124,27.44,2013-04-30 00:00:04
125,27.50,2013-04-30 00:00:05
126,27.44,2013-04-30 00:00:06
127,27.44,2013-04-30 00:00:07
128,27.50,2013-04-30 00:00:08
129,27.44,2013-04-30 00:00:09
130,27.44,2013-04-30 00:00:10
131,27.50,2013-04-30 00:00:11
132,27.50,2013-04-30 00:00:12
133,27.50,2013-04-30 00:00:13
134,27.50,2013-04-30 00:00:14
135,27.50,2013-04-30 00:00:15
136,27.56,2013-04-30 00:00:17
137,27.56,2013-04-30 00:00:18
138,27.56,2013-04-30 00:00:19
139,27.63,2013-04-30 00:00:20
140,27.63,2013-04-30 00:00:21
141,27.63,2013-04-30 00:00:22
142,27.63,2013-04-30 00:00:23
143,27.63,2013-04-30 00:00:24
144,27.63,2013-04-30 00:00:25
145,27.63,2013-04-30 00:00:26
146,27.63,2013-04-30 00:00:27
147,27.63,2013-04-30 00:00:28
148,27.63,2013-04-30 00:00:29
149,27.63,2013-04-30 00:00:30
150,27.63,2013-04-30 00:00:31
151,27.63,2013-04-30 00:00:32
152,27.63,2013-04-30 00:00:33
153,27.63,2013-04-30 00:00:34
154,27.63,2013-04-30 00:00:35
155,27.63,2013-04-30 00:00:36
156,27.63,2013-04-30 00:00:37
157,27.69,2013-04-30 00:00:38
158,27.63,2013-04-30 00:00:39
159,27.69,2013-04-30 00:00:40
160,27.69,2013-04-30 00:00:41
161,27.69,2013-04-30 00:00:42
162,27.75,2013-04-30 00:00:43
163,27.75,2013-04-30 00:00:44
164,27.69,2013-04-30 00:00:45
165,27.75,2013-04-30 00:00:46
166,27.75,2013-04-30 00:00:47
167,27.75,2013-04-30 00:00:48
168,27.75,2013-04-30 00:00:49
169,27.75,2013-04-30 00:00:50
170,27.75,2013-04-30 00:00:51
171,27.75,2013-04-30 00:00:52
172,27.75,2013-04-30 00:00:53
173,27.75,2013-04-30 00:00:54
174,27.81,2013-04-30 00:00:55
175,27.81,2013-04-30 00:00:56
176,27.81,2013-04-30 00:00:57
177,27.81,2013-04-30 00:00:58
178,27.81,2013-04-30 00:00:59
179,27.81,2013-04-30 00:01:00
180,27.81,2013-04-30 00:01:01
181,27.81,2013-04-30 00:01:02
182,27.81,2013-04-30 00:01:03
183,27.81,2013-04-30 00:01:04
184,27.88,2013-04-30 00:01:05
185,27.81,2013-04-30 00:01:06
186,27.88,2013-04-30 00:01:07
187,27.88,2013-04-30 00:01:08
188,27.88,2013-04-30 00:01:09
189,27.88,2013-04-30 00:01:10
190,27.88,2013-04-30 00:01:11
191,27.88,2013-04-30 00:01:12
192,27.88,2013-04-30 00:01:13
193,27.94,2013-04-30 00:01:14
194,27.88,2013-04-30 00:01:15
195,27.88,2013-04-30 00:01:16
196,27.88,2013-04-30 00:01:17
197,27.94,2013-04-30 00:01:18
198,27.94,2013-04-30 00:01:19
199,27.94,2013-04-30 00:01:20
200,27.94,2013-04-30 00:01:21
201,27.94,2013-04-30 00:01:22
202,27.94,2013-04-30 00:01:23
203,27.94,2013-04-30 00:01:24
204,27.94,2013-04-30 00:01:25
205,27.94,2013-04-30 00:01:26
206,27.94,2013-04-30 00:01:27
207,28.00,2013-04-30 00:01:28
208,28.00,2013-04-30 00:01:30
209,28.00,2013-04-30 00:01:31
210,28.00,2013-04-30 00:01:32
211,28.00,2013-04-30 00:01:33
212,27.94,2013-04-30 00:01:34
213,28.00,2013-04-30 00:01:35
214,28.00,2013-04-30 00:01:36
215,28.00,2013-04-30 00:01:37
216,28.00,2013-04-30 00:01:38
217,28.00,2013-04-30 00:01:39
218,28.00,2013-04-30 00:01:40
219,28.00,2013-04-30 00:01:41
220,28.06,2013-04-30 00:01:42
221,28.06,2013-04-30 00:01:43
222,28.00,2013-04-30 00:01:44
223,28.00,2013-04-30 00:01:45
224,28.06,2013-04-30 00:01:46
225,28.00,2013-04-30 00:01:47
226,28.06,2013-04-30 00:01:48
227,28.06,2013-04-30 00:01:49
228,28.06,2013-04-30 00:01:50
229,28.06,2013-04-30 00:01:51
230,28.06,2013-04-30 00:01:52
231,28.06,2013-04-30 00:01:53
232,28.06,2013-04-30 00:01:54
233,28.06,2013-04-30 00:01:55
234,28.06,2013-04-30 00:01:56
235,28.06,2013-04-30 00:01:57
236,28.06,2013-04-30 00:01:58
237,28.06,2013-04-30 00:01:59
238,28.06,2013-04-30 00:02:00
239,28.13,2013-04-30 00:02:01
240,28.13,2013-04-30 00:02:02
241,28.06,2013-04-30 00:02:03
242,28.13,2013-04-30 00:02:04
243,28.06,2013-04-30 00:02:05
244,28.06,2013-04-30 00:02:06
245,28.06,2013-04-30 00:02:07
246,28.13,2013-04-30 00:02:08
247,28.06,2013-04-30 00:02:09
248,28.13,2013-04-30 00:02:10
249,28.13,2013-04-30 00:02:11
250,28.13,2013-04-30 00:02:12
251,28.13,2013-04-30 00:02:13
252,28.13,2013-04-30 00:02:14
253,28.13,2013-04-30 00:02:15
254,28.13,2013-04-30 00:02:16
255,28.13,2013-04-30 00:02:17
256,28.13,2013-04-30 00:02:18
257,28.13,2013-04-30 00:02:19
258,28.13,2013-04-30 00:02:20
259,28.13,2013-04-30 00:02:21
260,28.13,2013-04-30 00:02:22
261,28.13,2013-04-30 00:02:23
262,28.13,2013-04-30 00:02:24
263,28.13,2013-04-30 00:02:25
264,28.19,2013-04-30 00:02:26
265,28.19,2013-04-30 00:02:27
266,28.13,2013-04-30 00:02:28
267,28.19,2013-04-30 00:02:29
268,28.13,2013-04-30 00:02:30
269,28.19,2013-04-30 00:02:31
270,28.19,2013-04-30 00:02:32
271,28.13,2013-04-30 00:02:33
272,28.13,2013-04-30 00:02:34
273,28.19,2013-04-30 00:02:35
274,28.19,2013-04-30 00:02:36
275,28.19,2013-04-30 00:02:37
276,28.19,2013-04-30 00:02:38
277,28.19,2013-04-30 00:02:39
278,28.25,2013-04-30 00:02:40
279,28.19,2013-04-30 00:02:42
280,28.25,2013-04-30 00:02:43
281,28.25,2013-04-30 00:02:44
282,28.25,2013-04-30 00:02:45
283,28.25,2013-04-30 00:02:46
284,28.25,2013-04-30 00:02:47
285,28.25,2013-04-30 00:02:48
286,28.25,2013-04-30 00:02:49
287,28.25,2013-04-30 00:02:50
288,28.25,2013-04-30 00:02:51
289,28.25,2013-04-30 00:02:52
290,28.25,2013-04-30 00:02:53
291,28.25,2013-04-30 00:02:54
292,28.25,2013-04-30 00:02:55
293,28.25,2013-04-30 00:02:56
294,28.25,2013-04-30 00:02:57
295,28.25,2013-04-30 00:02:58
296,28.25,2013-04-30 00:02:59
297,28.25,2013-04-30 00:03:00
298,28.25,2013-04-30 00:03:01
299,28.25,2013-04-30 00:03:02
300,28.25,2013-04-30 00:03:03
301,28.25,2013-04-30 00:03:04
302,28.25,2013-04-30 00:03:05
303,28.25,2013-04-30 00:03:06
304,28.25,2013-04-30 00:03:07
305,28.25,2013-04-30 00:03:08
306,28.25,2013-04-30 00:03:09
307,28.25,2013-04-30 00:03:10
308,28.25,2013-04-30 00:03:11
309,28.25,2013-04-30 00:03:12
310,28.25,2013-04-30 00:03:13
311,28.25,2013-04-30 00:03:14
312,28.25,2013-04-30 00:03:15
313,28.25,2013-04-30 00:03:16
314,28.25,2013-04-30 00:03:17
315,28.25,2013-04-30 00:03:18
316,28.25,2013-04-30 00:03:19
317,28.25,2013-04-30 00:03:20
318,28.25,2013-04-30 00:03:21
319,28.25,2013-04-30 00:03:22
320,28.25,2013-04-30 00:03:23
321,28.25,2013-04-30 00:03:24
322,28.25,2013-04-30 00:03:25
323,28.25,2013-04-30 00:03:26
324,28.25,2013-04-30 00:03:27
325,28.25,2013-04-30 00:03:28
326,28.25,2013-04-30 00:03:29
327,28.25,2013-04-30 00:03:30
328,28.25,2013-04-30 00:03:31
329,28.25,2013-04-30 00:03:32
330,28.25,2013-04-30 00:03:33
331,28.25,2013-04-30 00:03:34
332,28.25,2013-04-30 00:03:35
333,28.25,2013-04-30 00:03:36
334,28.25,2013-04-30 00:03:37
335,28.25,2013-04-30 00:03:38
336,28.25,2013-04-30 00:03:39
337,28.25,2013-04-30 00:03:40
338,28.25,2013-04-30 00:03:41
339,28.25,2013-04-30 00:03:42
340,28.25,2013-04-30 00:03:43
341,28.25,2013-04-30 00:03:44
342,28.25,2013-04-30 00:03:45
343,28.25,2013-04-30 00:03:46
344,28.25,2013-04-30 00:03:47
345,28.25,2013-04-30 00:03:48
346,28.25,2013-04-30 00:03:49
347,28.25,2013-04-30 00:03:50
348,28.25,2013-04-30 00:03:51
349,28.25,2013-04-30 00:03:52
350,28.25,2013-04-30 00:03:53
351,28.25,2013-04-30 00:03:55
352,28.25,2013-04-30 00:03:56
353,28.25,2013-04-30 00:03:57
354,28.25,2013-04-30 00:03:58
355,28.25,2013-04-30 00:03:59
356,28.31,2013-04-30 00:04:00
357,28.38,2013-04-30 00:04:01
358,28.38,2013-04-30 00:04:02
359,28.44,2013-04-30 00:04:03
360,28.44,2013-04-30 00:04:04
361,28.44,2013-04-30 00:04:05
362,28.50,2013-04-30 00:04:06
363,28.50,2013-04-30 00:04:07
364,28.50,2013-04-30 00:04:08
365,28.56,2013-04-30 00:04:09
366,28.56,2013-04-30 00:04:10
367,28.63,2013-04-30 00:04:11
368,28.63,2013-04-30 00:04:12
369,28.63,2013-04-30 00:04:13
370,28.63,2013-04-30 00:04:14
371,28.63,2013-04-30 00:04:15
372,28.69,2013-04-30 00:04:16
373,28.63,2013-04-30 00:04:17
374,28.69,2013-04-30 00:04:18
375,28.69,2013-04-30 00:04:19
376,28.69,2013-04-30 00:04:20
377,28.69,2013-04-30 00:04:21
378,28.69,2013-04-30 00:04:22
379,28.69,2013-04-30 00:04:23
380,28.69,2013-04-30 00:04:24
381,28.69,2013-04-30 00:04:25
382,28.69,2013-04-30 00:04:26
383,28.69,2013-04-30 00:04:27
384,28.69,2013-04-30 00:04:28
385,28.69,2013-04-30 00:04:29
386,28.69,2013-04-30 00:04:30
387,28.69,2013-04-30 00:04:31
388,28.69,2013-04-30 00:04:32
389,28.69,2013-04-30 00:04:33
390,28.69,2013-04-30 00:04:34
391,28.69,2013-04-30 00:04:35
392,28.69,2013-04-30 00:04:36
393,28.69,2013-04-30 00:04:37
394,28.69,2013-04-30 00:04:38
395,28.69,2013-04-30 00:04:39
396,28.69,2013-04-30 00:04:40
397,28.69,2013-04-30 00:04:41
398,28.69,2013-04-30 00:04:42
399,28.69,2013-04-30 00:04:43
400,28.69,2013-04-30 00:04:44
401,28.69,2013-04-30 00:04:45
402,28.69,2013-04-30 00:04:46
403,28.69,2013-04-30 00:04:47
404,28.69,2013-04-30 00:04:48
405,28.69,2013-04-30 00:04:49
406,28.69,2013-04-30 00:04:50
407,28.69,2013-04-30 00:04:51
408,28.69,2013-04-30 00:04:52
409,28.69,2013-04-30 00:04:53
410,28.69,2013-04-30 00:04:54
411,28.75,2013-04-30 00:04:55
412,28.75,2013-04-30 00:04:56
413,28.75,2013-04-30 00:04:57
414,28.75,2013-04-30 00:04:58
415,28.75,2013-04-30 00:04:59
416,28.75,2013-04-30 00:05:00
417,28.75,2013-04-30 00:05:01
418,28.75,2013-04-30 00:05:02
419,28.81,2013-04-30 00:05:03
420,28.75,2013-04-30 00:05:04
421,28.75,2013-04-30 00:05:05
422,28.75,2013-04-30 00:05:07
423,28.81,2013-04-30 00:05:08
424,28.81,2013-04-30 00:05:09
425,28.81,2013-04-30 00:05:10
426,28.81,2013-04-30 00:05:11
427,28.81,2013-04-30 00:05:12
428,28.81,2013-04-30 00:05:13
429,28.81,2013-04-30 00:05:14
430,28.81,2013-04-30 00:05:15
431,28.81,2013-04-30 00:05:16
432,28.81,2013-04-30 00:05:17
433,28.81,2013-04-30 00:05:18
434,28.81,2013-04-30 00:05:19
435,28.81,2013-04-30 00:05:20
436,28.81,2013-04-30 00:05:21
437,28.81,2013-04-30 00:05:22
438,28.81,2013-04-30 00:05:23
439,28.81,2013-04-30 00:05:24
440,28.81,2013-04-30 00:05:25
441,28.81,2013-04-30 00:05:26
442,28.81,2013-04-30 00:05:27
443,28.81,2013-04-30 00:05:28
444,28.81,2013-04-30 00:05:29
445,28.81,2013-04-30 00:05:30
446,28.81,2013-04-30 00:05:31
447,28.81,2013-04-30 00:05:32
448,28.81,2013-04-30 00:05:33
449,28.81,2013-04-30 00:05:34
450,28.81,2013-04-30 00:05:35
451,28.81,2013-04-30 00:05:36
452,28.81,2013-04-30 00:05:37
453,28.88,2013-04-30 00:05:38
454,28.81,2013-04-30 00:05:39
455,28.81,2013-04-30 00:05:40
456,28.81,2013-04-30 00:05:41
457,28.81,2013-04-30 00:05:42
458,28.88,2013-04-30 00:05:43
459,28.81,2013-04-30 00:05:44
460,28.81,2013-04-30 00:05:45
461,28.81,2013-04-30 00:05:46
462,28.81,2013-04-30 00:05:47
463,28.88,2013-04-30 00:05:48
464,28.81,2013-04-30 00:05:49
465,28.81,2013-04-30 00:05:50
466,28.81,2013-04-30 00:05:51
467,28.81,2013-04-30 00:05:52
468,28.88,2013-04-30 00:05:53
469,28.81,2013-04-30 00:05:54
470,28.81,2013-04-30 00:05:55
471,28.81,2013-04-30 00:05:56
472,28.81,2013-04-30 00:05:57
473,28.81,2013-04-30 00:05:58
474,28.88,2013-04-30 00:05:59
475,28.81,2013-04-30 00:06:00
476,28.88,2013-04-30 00:06:01
477,28.81,2013-04-30 00:06:02
478,28.81,2013-04-30 00:06:03
479,28.81,2013-04-30 00:06:04
480,28.88,2013-04-30 00:06:05
481,28.88,2013-04-30 00:06:06
482,28.88,2013-04-30 00:06:07
483,28.81,2013-04-30 00:06:08
484,28.81,2013-04-30 00:06:09
